service_point_number,premise_number,service_type,status,install_date
SP-40001,P-30001,ELECTRIC,ACTIVE,2010-05-15
SP-40002,P-30001,WATER,ACTIVE,2010-05-15
SP-40003,P-30002,ELECTRIC,ACTIVE,2012-08-20
SP-40004,P-30003,ELECTRIC,ACTIVE,2008-03-10
SP-40005,P-30004,ELECTRIC,ACTIVE,2015-01-05
SP-40006,P-30005,ELECTRIC,ACTIVE,2011-11-18
SP-40007,P-30006,ELECTRIC,ACTIVE,2013-06-22
SP-40008,P-30007,ELECTRIC,ACTIVE,2009-09-14
SP-40009,P-30008,ELECTRIC,ACTIVE,2006-02-01
SP-40010,P-30009,ELECTRIC,ACTIVE,2005-07-10
SP-40011,P-30010,ELECTRIC,ACTIVE,2014-04-25
SP-40012,P-30008,WATER,ACTIVE,2006-02-01
