meter_number,service_point_number,meter_type,manufacturer,model,status,install_date,multiplier,register_count
M-50001,SP-40001,AMI,Itron,OpenWay Riva,ACTIVE,2020-03-15,1.0000,1
M-50002,SP-40002,AMR,Neptune,R900,ACTIVE,2018-06-10,1.0000,1
M-50003,SP-40003,AMI,Itron,OpenWay Riva,ACTIVE,2020-05-22,1.0000,1
M-50004,SP-40004,MANUAL,GE,I-210+,ACTIVE,2016-01-10,1.0000,1
M-50005,SP-40005,AMI,Landis+Gyr,GridStream,ACTIVE,2021-02-28,1.0000,1
M-50006,SP-40006,AMI,Itron,OpenWay Riva,ACTIVE,2020-07-15,1.0000,1
M-50007,SP-40007,AMI,Landis+Gyr,GridStream,ACTIVE,2021-04-10,1.0000,1
M-50008,SP-40008,AMR,Sensus,iConA,ACTIVE,2017-11-05,1.0000,1
M-50009,SP-40009,AMI,Itron,OpenWay Riva,ACTIVE,2019-08-20,40.0000,2
M-50010,SP-40010,AMI,Landis+Gyr,GridStream,ACTIVE,2019-09-15,1.0000,1
