payment_id,account_number,payment_date,payment_amount,payment_method,status,reference_number
PAY-70001,A-20001,2025-11-18,132.75,ONLINE,POSTED,TXN-8001
PAY-70002,A-20002,2025-11-15,95.00,AUTO_PAY,POSTED,TXN-8002
PAY-70003,A-20003,2025-11-10,102.00,CHECK,POSTED,CHK-4501
PAY-70004,A-20007,2025-11-12,165.00,ACH,POSTED,ACH-2201
PAY-70005,A-20008,2025-11-14,2980.50,ACH,POSTED,ACH-2202
PAY-70006,A-20010,2025-11-16,4200.00,CHECK,POSTED,CHK-4502
PAY-70007,A-20012,2025-11-11,298.50,CREDIT_CARD,POSTED,CC-9901
PAY-70008,A-20001,2025-10-15,155.25,ONLINE,POSTED,TXN-7901
PAY-70009,A-20004,2025-11-19,195.00,CASH,POSTED,RCP-3301
PAY-70010,A-20006,2025-11-14,95.00,AUTO_PAY,POSTED,TXN-8003
PAY-70011,A-20009,2025-11-13,1800.00,ACH,POSTED,ACH-2203
PAY-70012,A-20011,2025-11-17,2100.00,CHECK,POSTED,CHK-4503
PAY-70013,A-20003,2025-12-08,89.25,ONLINE,PENDING,TXN-8004
PAY-70014,A-20007,2025-12-10,178.30,ACH,PENDING,ACH-2204
PAY-70015,A-20012,2025-12-09,325.00,CREDIT_CARD,PENDING,CC-9902
